 Configuration with minimum energy:           62
 Configuration with maximum energy:           33

Temperature=    300.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        48  0.108074E+00      0.0011      0.0000
         2        96  0.111649E+00      0.0018      0.0000
         3        96  0.910370E-01      0.0041      0.0000
         4        96  0.778650E-01      0.0068      0.0001
         5       192  0.832110E-01      0.0111      0.0001
         6       192  0.101689E+00      0.0054      0.0000
         7       192  0.720570E-01      0.0171      0.0001
         8        16  0.467230E-01      0.0038      0.0002
         9        48  0.978060E-01      0.0016      0.0000
        10       192  0.121804E+00      0.0025      0.0000
        11        96  0.119026E+00      0.0014      0.0000
        12        32  0.956690E-01      0.0011      0.0000
        13       192  0.919060E-01      0.0079      0.0000
        14       192  0.732050E-01      0.0163      0.0001
        15       192  0.626040E-01      0.0246      0.0001
        16       192  0.100592E+00      0.0057      0.0000
        17       192  0.825080E-01      0.0114      0.0001
        18        64  0.834740E-01      0.0037      0.0001
        19       192  0.748880E-01      0.0153      0.0001
        20        96  0.595250E-01      0.0138      0.0001
        21       192  0.584010E-01      0.0289      0.0002
        22       192  0.840180E-01      0.0107      0.0001
        23       192  0.751740E-01      0.0151      0.0001
        24       192  0.544360E-01      0.0337      0.0002
        25       192  0.635330E-01      0.0237      0.0001
        26        96  0.473190E-01      0.0222      0.0002
        27       192  0.679720E-01      0.0200      0.0001
        28        96  0.925690E-01      0.0039      0.0000
        29       192  0.695950E-01      0.0188      0.0001
        30       192  0.730420E-01      0.0164      0.0001
        31       192  0.696070E-01      0.0188      0.0001
        32       192  0.636740E-01      0.0236      0.0001
        33        48  0.121968E+00      0.0006      0.0000
        34       192  0.103903E+00      0.0050      0.0000
        35        32  0.862990E-01      0.0016      0.0001
        36       192  0.114193E+00      0.0033      0.0000
        37        48  0.110175E+00      0.0010      0.0000
        38        96  0.108395E+00      0.0021      0.0000
        39        96  0.110829E+00      0.0019      0.0000
        40        96  0.101103E+00      0.0028      0.0000
        41        48  0.111739E+00      0.0009      0.0000
        42       192  0.801210E-01      0.0125      0.0001
        43        24  0.114511E+00      0.0004      0.0000
        44        96  0.103104E+00      0.0026      0.0000
        45       192  0.845660E-01      0.0105      0.0001
        46       192  0.781660E-01      0.0135      0.0001
        47        96  0.833800E-01      0.0055      0.0001
        48        96  0.748710E-01      0.0076      0.0001
        49        96  0.574930E-01      0.0150      0.0002
        50        48  0.929650E-01      0.0019      0.0000
        51        96  0.579990E-01      0.0147      0.0002
