 Configuration with minimum energy:           21
 Configuration with maximum energy:            1

Temperature=    300.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1         8  0.124339E+00      0.0002      0.0000
         2       192  0.964100E-01      0.0118      0.0001
         3        96  0.659980E-01      0.0191      0.0002
         4        96  0.556450E-01      0.0285      0.0003
         5        96  0.577980E-01      0.0262      0.0003
         6        96  0.971970E-01      0.0057      0.0001
         7       192  0.666240E-01      0.0372      0.0002
         8        12  0.115862E+00      0.0003      0.0000
         9        96  0.420490E-01      0.0481      0.0005
        10       192  0.372760E-01      0.1158      0.0006
        11        96  0.677650E-01      0.0178      0.0002
        12        24  0.680170E-01      0.0044      0.0002
        13        96  0.199110E-01      0.1134      0.0012
        14        48  0.577510E-01      0.0131      0.0003
        15        48  0.581270E-01      0.0129      0.0003
        16        96  0.262630E-01      0.0887      0.0009
        17        96  0.486450E-01      0.0373      0.0004
        18       192  0.112000E-01      0.3176      0.0017
        19        24  0.319400E-02      0.0541      0.0023
        20         4  0.986980E-01      0.0002      0.0001
        21        12  0.000000E+00      0.0306      0.0026
        22         8  0.469200E-02      0.0170      0.0021


Temperature=    873.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1         8  0.124339E+00      0.0016      0.0002
         2       192  0.964100E-01      0.0556      0.0003
         3        96  0.659980E-01      0.0416      0.0004
         4        96  0.556450E-01      0.0478      0.0005
         5        96  0.577980E-01      0.0464      0.0005
         6        96  0.971970E-01      0.0275      0.0003
         7       192  0.666240E-01      0.0826      0.0004
         8        12  0.115862E+00      0.0027      0.0002
         9        96  0.420490E-01      0.0572      0.0006
        10       192  0.372760E-01      0.1220      0.0006
        11        96  0.677650E-01      0.0407      0.0004
        12        24  0.680170E-01      0.0101      0.0004
        13        96  0.199110E-01      0.0768      0.0008
        14        48  0.577510E-01      0.0232      0.0005
        15        48  0.581270E-01      0.0231      0.0005
        16        96  0.262630E-01      0.0706      0.0007
        17        96  0.486450E-01      0.0524      0.0005
        18       192  0.112000E-01      0.1725      0.0009
        19        24  0.319400E-02      0.0240      0.0010
        20         4  0.986980E-01      0.0011      0.0003
        21        12  0.000000E+00      0.0125      0.0010
        22         8  0.469200E-02      0.0078      0.0010


Temperature=   1273.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1         8  0.124339E+00      0.0022      0.0003
         2       192  0.964100E-01      0.0689      0.0004
         3        96  0.659980E-01      0.0455      0.0005
         4        96  0.556450E-01      0.0500      0.0005
         5        96  0.577980E-01      0.0490      0.0005
         6        96  0.971970E-01      0.0342      0.0004
         7       192  0.666240E-01      0.0905      0.0005
         8        12  0.115862E+00      0.0036      0.0003
         9        96  0.420490E-01      0.0566      0.0006
        10       192  0.372760E-01      0.1182      0.0006
        11        96  0.677650E-01      0.0448      0.0005
        12        24  0.680170E-01      0.0112      0.0005
        13        96  0.199110E-01      0.0692      0.0007
        14        48  0.577510E-01      0.0245      0.0005
        15        48  0.581270E-01      0.0244      0.0005
        16        96  0.262630E-01      0.0653      0.0007
        17        96  0.486450E-01      0.0533      0.0006
        18       192  0.112000E-01      0.1499      0.0008
        19        24  0.319400E-02      0.0202      0.0008
        20         4  0.986980E-01      0.0014      0.0004
        21        12  0.000000E+00      0.0104      0.0009
        22         8  0.469200E-02      0.0066      0.0008


Temperature=   1673.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1         8  0.124339E+00      0.0026      0.0003
         2       192  0.964100E-01      0.0768      0.0004
         3        96  0.659980E-01      0.0474      0.0005
         4        96  0.556450E-01      0.0509      0.0005
         5        96  0.577980E-01      0.0502      0.0005
         6        96  0.971970E-01      0.0382      0.0004
         7       192  0.666240E-01      0.0944      0.0005
         8        12  0.115862E+00      0.0042      0.0003
         9        96  0.420490E-01      0.0560      0.0006
        10       192  0.372760E-01      0.1157      0.0006
        11        96  0.677650E-01      0.0468      0.0005
        12        24  0.680170E-01      0.0117      0.0005
