 Configuration with minimum energy:            8
 Configuration with maximum energy:            1

Temperature=    300.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        32  0.764190E-01      0.0089      0.0003
         2        48  0.760890E-01      0.0135      0.0003
         3        96  0.469950E-01      0.0835      0.0009
         4       192  0.366940E-01      0.2487      0.0013
         5        96  0.161190E-01      0.2756      0.0029
         6        16  0.559260E-01      0.0099      0.0006
         7        48  0.803700E-02      0.1884      0.0039
         8        32  0.000000E+00      0.1714      0.0054


Temperature=    873.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        32  0.764190E-01      0.0323      0.0010
         2        48  0.760890E-01      0.0487      0.0010
         3        96  0.469950E-01      0.1434      0.0015
         4       192  0.366940E-01      0.3288      0.0017
         5        96  0.161190E-01      0.2161      0.0023
         6        16  0.559260E-01      0.0212      0.0013
         7        48  0.803700E-02      0.1203      0.0025
         8        32  0.000000E+00      0.0892      0.0028


Temperature=   1273.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        32  0.764190E-01      0.0390      0.0012
         2        48  0.760890E-01      0.0587      0.0012
         3        96  0.469950E-01      0.1529      0.0016
         4       192  0.366940E-01      0.3360      0.0017
         5        96  0.161190E-01      0.2026      0.0021
         6        16  0.559260E-01      0.0235      0.0015
         7        48  0.803700E-02      0.1091      0.0023
         8        32  0.000000E+00      0.0782      0.0024


Temperature=   1673.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        32  0.764190E-01      0.0429      0.0013
         2        48  0.760890E-01      0.0644      0.0013
         3        96  0.469950E-01      0.1577      0.0016
         4       192  0.366940E-01      0.3388      0.0018
         5        96  0.161190E-01      0.1954      0.0020
         6        16  0.559260E-01      0.0247      0.0015
         7        48  0.803700E-02      0.1033      0.0022
         8        32  0.000000E+00      0.0728      0.0023


 Infinite Temperature Limit
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        32  0.764190E-01      0.0571      0.0018
         2        48  0.760890E-01      0.0857      0.0018
         3        96  0.469950E-01      0.1714      0.0018
         4       192  0.366940E-01      0.3429      0.0018
         5        96  0.161190E-01      0.1714      0.0018
         6        16  0.559260E-01      0.0286      0.0018
         7        48  0.803700E-02      0.0857      0.0018
         8        32  0.000000E+00      0.0571      0.0018
