
 ____________________________________________________________________________________________
 Temperature: T =    300.00000000000000      K
 Chemical potential: mu =   -750.41543552253393      eV
 Composition: x =   0.75000000000867417     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  0      1        1           -61059.13561      -61059.08416    0.405184E-05    0.405184E-05
  1      1       16           -61809.52206      -61059.06339    0.290304E-04    0.181440E-05
  2      1       48           -62559.91747      -61059.05087    0.536649E-04    0.111802E-05
  2      2       24           -62559.92649      -61059.05989    0.380311E-04    0.158463E-05
  2      3       48           -62559.93679      -61059.07019    0.113275E-03    0.235990E-05
  3      1       48           -63310.31227      -61059.03702    0.314029E-04    0.654227E-06
  3      2       32           -63310.31342      -61059.03818    0.218926E-04    0.684145E-06
  3      3       96           -63310.32148      -61059.04623    0.896886E-04    0.934256E-06
  3      4      192           -63310.33108      -61059.05583    0.260070E-03    0.135453E-05
  3      5       96           -63310.33003      -61059.05478    0.124835E-03    0.130037E-05
  3      6       48           -63310.32923      -61059.05399    0.605321E-04    0.126108E-05
  3      7       32           -63310.36223      -61059.08699    0.144628E-03    0.451963E-05
  3      8       16           -63310.29084      -61059.01560    0.457044E-05    0.285652E-06
  4      1       12           -64060.69708      -61059.01247    0.303699E-05    0.253083E-06
  4      2      192           -64060.71656      -61059.03195    0.103252E-03    0.537769E-06
  4      3      192           -64060.71491      -61059.03030    0.968451E-04    0.504401E-06
  4      4       96           -64060.72606      -61059.04145    0.745550E-04    0.776614E-06
  4      5       24           -64060.72769      -61059.04308    0.198487E-04    0.827030E-06
  4      6       96           -64060.73540      -61059.05080    0.107012E-03    0.111471E-05
  4      7       48           -64060.73390      -61059.04929    0.504858E-04    0.105179E-05
  4      8       96           -64060.71444      -61059.02983    0.475630E-04    0.495448E-06
  4      9      192           -64060.73261      -61059.04800    0.192106E-03    0.100055E-05
  4     10       96           -64060.75440      -61059.06979    0.223092E-03    0.232387E-05
  4     11       96           -64060.75643      -61059.07182    0.241334E-03    0.251390E-05
  4     12       96           -64060.72217      -61059.03756    0.641398E-04    0.668123E-06
  4     13       96           -64060.69587      -61059.01126    0.231904E-04    0.241566E-06
  4     14       96           -64060.72462      -61059.04001    0.705184E-04    0.734567E-06
  4     15       96           -64060.73338      -61059.04877    0.989380E-04    0.103060E-05
  4     16      192           -64060.74358      -61059.05897    0.293593E-03    0.152913E-05
  4     17       48           -64060.73462      -61059.05001    0.518996E-04    0.108124E-05
  4     18       24           -64060.74005      -61059.05544    0.320175E-04    0.133406E-05
  4     19        8           -64060.70845      -61059.02384    0.314348E-05    0.392935E-06
  4     20        4           -64060.71469      -61059.03008    0.200059E-05    0.500146E-06
  4     21       12           -64060.72936      -61059.04475    0.105874E-04    0.882286E-06
  4     22        8           -64060.80941      -61059.12480    0.156109E-03    0.195137E-04
  5      1       96           -64811.10732      -61059.01264    0.244560E-04    0.254750E-06
  5      2      192           -64811.12798      -61059.03329    0.108748E-03    0.566396E-06
  5      3       48           -64811.11935      -61059.02467    0.194723E-04    0.405673E-06
  5      4      192           -64811.11591      -61059.02122    0.681743E-04    0.355075E-06
  5      5       96           -64811.13305      -61059.03837    0.661705E-04    0.689276E-06
  5      6      192           -64811.14693      -61059.05224    0.226352E-03    0.117892E-05
  5      7       96           -64811.14333      -61059.04864    0.984600E-04    0.102562E-05
  5      8       96           -64811.11657      -61059.02188    0.349700E-04    0.364270E-06
  5      9       96           -64811.15908      -61059.06439    0.181078E-03    0.188623E-05
  5     10      192           -64811.12358      -61059.02890    0.917499E-04    0.477864E-06
  5     11       96           -64811.15460      -61059.05991    0.152261E-03    0.158605E-05
  5     12       96           -64811.13429      -61059.03961    0.694217E-04    0.723143E-06
  5     13       48           -64811.09652      -61059.00183    0.805082E-05    0.167725E-06
  5     14       96           -64811.09885      -61059.00417    0.176237E-04    0.183580E-06
  5     15       96           -64811.10455      -61059.00986    0.219686E-04    0.228839E-06
  5     16      192           -64811.12491      -61059.03023    0.965787E-04    0.503014E-06
  5     17      192           -64811.13724      -61059.04256    0.155620E-03    0.810523E-06
  5     18      192           -64811.14338      -61059.04870    0.197324E-03    0.102773E-05
  5     19      192           -64811.14607      -61059.05139    0.218963E-03    0.114043E-05
  5     20      192           -64811.15355      -61059.05887    0.292434E-03    0.152310E-05
