
 ____________________________________________________________________________________________
 Temperature: T =    473.00000000000000      K
 Chemical potential: mu =   -750.50808041108280      eV
 Composition: x =    6.2500000012477158E-002

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  0      1        1           -61059.13561      -61059.13561    0.396279E+00    0.396279E+00
  1      1       16           -61809.52206      -61059.01398    0.320729E+00    0.200456E-01
  2      1       48           -62559.91747      -61058.90131    0.606484E-01    0.126351E-02
  2      2       24           -62559.92649      -61058.91033    0.378325E-01    0.157635E-02
  2      3       48           -62559.93679      -61058.92063    0.974087E-01    0.202935E-02
  3      1       48           -63310.31227      -61058.78803    0.376498E-02    0.784370E-04
  3      2       32           -63310.31342      -61058.78918    0.258219E-02    0.806934E-04
  3      3       96           -63310.32148      -61058.79724    0.943919E-02    0.983249E-04
  3      4      192           -63310.33108      -61058.80684    0.238937E-01    0.124446E-03
  3      5       96           -63310.33003      -61058.80578    0.116416E-01    0.121267E-03
  3      6       48           -63310.32923      -61058.80499    0.570865E-02    0.118930E-03
  3      7       32           -63310.36223      -61058.83799    0.855153E-02    0.267235E-03
  3      8       16           -63310.29084      -61058.76660    0.741961E-03    0.463725E-04
  4      1       12           -64060.69708      -61058.66475    0.457358E-04    0.381132E-05
  4      2      192           -64060.71656      -61058.68424    0.118029E-02    0.614732E-05
  4      3      192           -64060.71491      -61058.68258    0.113329E-02    0.590257E-05
  4      4       96           -64060.72606      -61058.69374    0.745057E-03    0.776101E-05
  4      5       24           -64060.72769      -61058.69537    0.193845E-03    0.807687E-05
  4      6       96           -64060.73540      -61058.70308    0.936997E-03    0.976039E-05
  4      7       48           -64060.73390      -61058.70158    0.451549E-03    0.940726E-05
  4      8       96           -64060.71444      -61058.68212    0.560247E-03    0.583590E-05
  4      9      192           -64060.73261      -61058.70029    0.174988E-02    0.911398E-05
  4     10       96           -64060.75440      -61058.72208    0.149313E-02    0.155534E-04
  4     11       96           -64060.75643      -61058.72411    0.156945E-02    0.163484E-04
  4     12       96           -64060.72217      -61058.68985    0.677239E-03    0.705457E-05
  4     13       96           -64060.69587      -61058.66355    0.355236E-03    0.370038E-05
  4     14       96           -64060.72462      -61058.69230    0.719212E-03    0.749179E-05
  4     15       96           -64060.73338      -61058.70106    0.891518E-03    0.928665E-05
  4     16      192           -64060.74358      -61058.71126    0.229003E-02    0.119272E-04
  4     17       48           -64060.73462      -61058.70230    0.459528E-03    0.957351E-05
  4     18       24           -64060.74005      -61058.70773    0.262518E-03    0.109383E-04
  4     19        8           -64060.70845      -61058.67613    0.403035E-04    0.503794E-05
  4     20        4           -64060.71469      -61058.68236    0.234838E-04    0.587094E-05
  4     21       12           -64060.72936      -61058.69704    0.100981E-03    0.841508E-05
  4     22        8           -64060.80941      -61058.77709    0.479780E-03    0.599725E-04
  5      1       96           -64811.10732      -61058.56692    0.331840E-04    0.345667E-06
  5      2      192           -64811.12798      -61058.58758    0.110166E-03    0.573780E-06
  5      3       48           -64811.11935      -61058.57895    0.222872E-04    0.464317E-06
  5      4      192           -64811.11591      -61058.57550    0.819258E-04    0.426697E-06
  5      5       96           -64811.13305      -61058.59265    0.623880E-04    0.649875E-06
  5      6      192           -64811.14693      -61058.60653    0.175375E-03    0.913412E-06
  5      7       96           -64811.14333      -61058.60293    0.802730E-04    0.836177E-06
  5      8       96           -64811.11657      -61058.57616    0.416326E-04    0.433673E-06
  5      9       96           -64811.15908      -61058.61868    0.118140E-03    0.123062E-05
  5     10      192           -64811.12358      -61058.58318    0.989075E-04    0.515143E-06
  5     11       96           -64811.15460      -61058.61420    0.105840E-03    0.110250E-05
  5     12       96           -64811.13429      -61058.59389    0.643151E-04    0.669949E-06
  5     13       48           -64811.09652      -61058.55611    0.127284E-04    0.265174E-06
  5     14       96           -64811.09885      -61058.55845    0.269576E-04    0.280809E-06
  5     15       96           -64811.10455      -61058.56415    0.310015E-04    0.322932E-06
  5     16      192           -64811.12491      -61058.58451    0.102178E-03    0.532177E-06
  5     17      192           -64811.13724      -61058.59684    0.138282E-03    0.720217E-06
  5     18      192           -64811.14338      -61058.60298    0.160755E-03    0.837265E-06
  5     19      192           -64811.14607      -61058.60567    0.171722E-03    0.894386E-06
  5     20      192           -64811.15355      -61058.61315    0.206312E-03    0.107454E-05
  5     21       96           -64811.14266      -61058.60226    0.789682E-04    0.822585E-06
  5     22       96           -64811.16473      -61058.62432    0.135698E-03    0.141352E-05
  5     23      192           -64811.12660      -61058.58620    0.106509E-03    0.554733E-06
  5     24      192           -64811.13486      -61058.59446    0.130445E-03    0.679401E-06
  5     25      192           -64811.15418      -61058.61378    0.209516E-03    0.109123E-05
  5     26      192           -64811.14948      -61058.60908    0.186697E-03    0.972382E-06
  5     27       96           -64811.13234      -61058.59194    0.613077E-04    0.638622E-06
  5     28       96           -64811.14099      -61058.60059    0.758037E-04    0.789622E-06
  5     29       96           -64811.10918      -61058.56878    0.347334E-04    0.361806E-06
  5     30       48           -64811.11499      -61058.57459    0.200273E-04    0.417235E-06
  5     31       48           -64811.12250      -61058.58210    0.240767E-04    0.501599E-06
  5     32       96           -64811.15092      -61058.61052    0.967102E-04    0.100740E-05
  5     33       96           -64811.15329      -61058.61289    0.102505E-03    0.106776E-05
  5     34       48           -64811.17400      -61058.63359    0.851756E-04    0.177449E-05
  5     35       96           -64811.20776      -61058.66736    0.390011E-03    0.406261E-05
  6      1       48           -65561.52021      -61058.47173    0.160554E-05    0.334488E-07
  6      2       96           -65561.51663      -61058.46815    0.294144E-05    0.306400E-07
  6      3       96           -65561.53725      -61058.48876    0.487730E-05    0.508052E-07
  6      4       96           -65561.55042      -61058.50194    0.673792E-05    0.701866E-07
  6      5      192           -65561.54507      -61058.49659    0.118194E-04    0.615592E-07
  6      6      192           -65561.52659      -61058.47811    0.751126E-05    0.391212E-07
  6      7      192           -65561.55623      -61058.50774    0.155396E-04    0.809353E-07
  6      8       16           -65561.58156      -61058.53308    0.241096E-05    0.150685E-06
  6      9       48           -65561.53048      -61058.48199    0.206550E-05    0.430313E-07
  6     10      192           -65561.50648      -61058.45800    0.458553E-05    0.238830E-07
  6     11       96           -65561.50926      -61058.46077    0.245448E-05    0.255675E-07
  6     12       32           -65561.53261      -61058.48413    0.145112E-05    0.453476E-07
  6     13      192           -65561.53638      -61058.48789    0.954883E-05    0.497335E-07
  6     14      192           -65561.55508      -61058.50660    0.151080E-04    0.786876E-07
  6     15      192           -65561.56568      -61058.51720    0.195957E-04    0.102061E-06
  6     16      192           -65561.52769      -61058.47921    0.771616E-05    0.401883E-07
  6     17      192           -65561.54578      -61058.49729    0.120250E-04    0.626302E-07
  6     18       64           -65561.54481      -61058.49633    0.391445E-05    0.611633E-07
  6     19      192           -65561.55339      -61058.50491    0.144969E-04    0.755047E-07
  6     20       96           -65561.56876      -61058.52028    0.105666E-04    0.110069E-06
  6     21      192           -65561.56988      -61058.52140    0.217242E-04    0.113147E-06
  6     22      192           -65561.54427      -61058.49578    0.115877E-04    0.603524E-07
  6     23      192           -65561.55311      -61058.50463    0.143955E-04    0.749768E-07
  6     24      192           -65561.57385      -61058.52536    0.239436E-04    0.124706E-06
  6     25      192           -65561.56475      -61058.51627    0.191541E-04    0.997609E-07
  6     26       96           -65561.58096      -61058.53248    0.142558E-04    0.148498E-06
  6     27      192           -65561.56031      -61058.51183    0.171777E-04    0.894671E-07
