
 ____________________________________________________________________________________________
 Temperature: T =    300.00000000000000      K
 Chemical potential: mu =   -750.44878013595155      eV
 Composition: x =   0.12500000000101358     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  0      1        1           -61059.13561      -61059.13561    0.142128E+00    0.142128E+00
  1      1       16           -61809.52206      -61059.07328    0.204017E+00    0.127511E-01
  2      1       48           -62559.91747      -61059.01991    0.776773E-01    0.161828E-02
  2      2       24           -62559.92649      -61059.02893    0.550482E-01    0.229368E-02
  2      3       48           -62559.93679      -61059.03923    0.163960E+00    0.341584E-02
  3      1       48           -63310.31227      -61058.96593    0.962427E-02    0.200506E-03
  3      2       32           -63310.31342      -61058.96708    0.670960E-02    0.209675E-03
  3      3       96           -63310.32148      -61058.97514    0.274875E-01    0.286328E-03
  3      4      192           -63310.33108      -61058.98474    0.797056E-01    0.415133E-03
  3      5       96           -63310.33003      -61058.98369    0.382592E-01    0.398533E-03
  3      6       48           -63310.32923      -61058.98289    0.185517E-01    0.386494E-03
  3      7       32           -63310.36223      -61059.01589    0.443252E-01    0.138516E-02
  3      8       16           -63310.29084      -61058.94450    0.140074E-02    0.875460E-04
  4      1       12           -64060.69708      -61058.90196    0.202601E-03    0.168834E-04
  4      2      192           -64060.71656      -61058.92144    0.688802E-02    0.358751E-04
  4      3      192           -64060.71491      -61058.91978    0.646063E-02    0.336491E-04
  4      4       96           -64060.72606      -61058.93094    0.497363E-02    0.518087E-04
  4      5       24           -64060.72769      -61058.93257    0.132413E-02    0.551719E-04
  4      6       96           -64060.73540      -61058.94028    0.713887E-02    0.743632E-04
  4      7       48           -64060.73390      -61058.93878    0.336796E-02    0.701658E-04
  4      8       96           -64060.71444      -61058.91932    0.317298E-02    0.330518E-04
  4      9      192           -64060.73261      -61058.93749    0.128156E-01    0.667479E-04
  4     10       96           -64060.75440      -61058.95928    0.148827E-01    0.155028E-03
  4     11       96           -64060.75643      -61058.96131    0.160997E-01    0.167705E-03
  4     12       96           -64060.72217      -61058.92705    0.427883E-02    0.445711E-04
  4     13       96           -64060.69587      -61058.90075    0.154705E-02    0.161151E-04
  4     14       96           -64060.72462      -61058.92950    0.470435E-02    0.490037E-04
  4     15       96           -64060.73338      -61058.93826    0.660025E-02    0.687526E-04
  4     16      192           -64060.74358      -61058.94846    0.195859E-01    0.102010E-03
  4     17       48           -64060.73462      -61058.93950    0.346227E-02    0.721307E-04
  4     18       24           -64060.74005      -61058.94493    0.213592E-02    0.889967E-04
  4     19        8           -64060.70845      -61058.91333    0.209704E-03    0.262130E-04
  4     20        4           -64060.71469      -61058.91957    0.133461E-03    0.333653E-04
  4     21       12           -64060.72936      -61058.93424    0.706298E-03    0.588581E-04
  4     22        8           -64060.80941      -61059.01429    0.104142E-01    0.130178E-02
 ------------------------------
  n      Cumulative prob(n,T) 
     0            0.14213
     1            0.20402
     2            0.29669
     3            0.22606
     4            0.13110
 ------------------------------

 ____________________________________________________________________________________________
 Temperature: T =    873.00000000000000      K
 Chemical potential: mu =   -750.53884000902178      eV
 Composition: x =   0.12499999998850830     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
