
 ____________________________________________________________________________________________
 Temperature: T =    473.00000000000000      K
 Chemical potential: mu =   -750.45471853376898      eV
 Composition: x =   0.24999999999634548     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  0      1        1           -61059.13561      -61059.13561    0.232097E-01    0.232097E-01
  1      1       16           -61809.52206      -61059.06734    0.695620E-01    0.434762E-02
  2      1       48           -62559.91747      -61059.00804    0.487101E-01    0.101479E-02
  2      2       24           -62559.92649      -61059.01705    0.303854E-01    0.126606E-02
  2      3       48           -62559.93679      -61059.02735    0.782344E-01    0.162988E-02
  3      1       48           -63310.31227      -61058.94811    0.111977E-01    0.233285E-03
  3      2       32           -63310.31342      -61058.94927    0.767988E-02    0.239996E-03
  3      3       96           -63310.32148      -61058.95732    0.280738E-01    0.292435E-03
  3      4      192           -63310.33108      -61058.96693    0.710641E-01    0.370125E-03
  3      5       96           -63310.33003      -61058.96587    0.346241E-01    0.360668E-03
  3      6       48           -63310.32923      -61058.96508    0.169785E-01    0.353719E-03
  3      7       32           -63310.36223      -61058.99808    0.254337E-01    0.794804E-03
  3      8       16           -63310.29084      -61058.92669    0.220672E-02    0.137920E-03
  4      1       12           -64060.69708      -61058.87820    0.503719E-03    0.419766E-04
  4      2      192           -64060.71656      -61058.89769    0.129993E-01    0.677046E-04
  4      3      192           -64060.71491      -61058.89603    0.124817E-01    0.650090E-04
  4      4       96           -64060.72606      -61058.90719    0.820582E-02    0.854773E-04
  4      5       24           -64060.72769      -61058.90881    0.213494E-02    0.889560E-04
  4      6       96           -64060.73540      -61058.91653    0.103198E-01    0.107498E-03
  4      7       48           -64060.73390      -61058.91503    0.497321E-02    0.103609E-03
  4      8       96           -64060.71444      -61058.89557    0.617038E-02    0.642748E-04
  4      9      192           -64060.73261      -61058.91374    0.192727E-01    0.100378E-03
  4     10       96           -64060.75440      -61058.93552    0.164448E-01    0.171300E-03
  4     11       96           -64060.75643      -61058.93755    0.172854E-01    0.180056E-03
  4     12       96           -64060.72217      -61058.90330    0.745889E-02    0.776968E-04
  4     13       96           -64060.69587      -61058.87700    0.391246E-02    0.407548E-04
  4     14       96           -64060.72462      -61058.90575    0.792117E-02    0.825122E-04
  4     15       96           -64060.73338      -61058.91450    0.981889E-02    0.102280E-03
  4     16      192           -64060.74358      -61058.92470    0.252216E-01    0.131362E-03
  4     17       48           -64060.73462      -61058.91574    0.506110E-02    0.105439E-03
  4     18       24           -64060.74005      -61058.92117    0.289129E-02    0.120471E-03
  4     19        8           -64060.70845      -61058.88957    0.443890E-03    0.554863E-04
  4     20        4           -64060.71469      -61058.89581    0.258643E-03    0.646607E-04
  4     21       12           -64060.72936      -61058.91049    0.111217E-02    0.926809E-04
  4     22        8           -64060.80941      -61058.99053    0.528414E-02    0.660518E-03
  5      1       96           -64811.10732      -61058.83373    0.135340E-02    0.140980E-04
  5      2      192           -64811.12798      -61058.85439    0.449309E-02    0.234015E-04
  5      3       48           -64811.11935      -61058.84576    0.908981E-03    0.189371E-04
  5      4      192           -64811.11591      -61058.84231    0.334133E-02    0.174028E-04
  5      5       96           -64811.13305      -61058.85946    0.254448E-02    0.265050E-04
  5      6      192           -64811.14693      -61058.87334    0.715264E-02    0.372534E-04
  5      7       96           -64811.14333      -61058.86974    0.327392E-02    0.341033E-04
  5      8       96           -64811.11657      -61058.84297    0.169798E-02    0.176873E-04
  5      9       96           -64811.15908      -61058.88549    0.481830E-02    0.501906E-04
  5     10      192           -64811.12358      -61058.84999    0.403392E-02    0.210100E-04
  5     11       96           -64811.15460      -61058.88101    0.431667E-02    0.449653E-04
  5     12       96           -64811.13429      -61058.86070    0.262308E-02    0.273238E-04
  5     13       48           -64811.09652      -61058.82292    0.519124E-03    0.108151E-04
  5     14       96           -64811.09885      -61058.82526    0.109946E-02    0.114527E-04
  5     15       96           -64811.10455      -61058.83096    0.126439E-02    0.131707E-04
  5     16      192           -64811.12491      -61058.85132    0.416731E-02    0.217048E-04
  5     17      192           -64811.13724      -61058.86365    0.563979E-02    0.293739E-04
