Structure,Energy,Nucleus,delta_iso
01,-68563.199508,Sn01,-655.9849642792774
01,-68563.199508,Sn02,-661.324344945574
01,-68563.199508,Sn03,-657.5352738489905
01,-68563.199508,Sn04,-657.535651206369
01,-68563.199508,Sn05,-656.1836603783031
01,-68563.199508,Sn06,-656.1832960281781
01,-68563.199508,Sn07,-658.6802163874377
01,-68563.199508,Sn08,-657.2684049672998
01,-68563.199508,Sn09,-657.2684150467594
01,-68563.199508,Sn10,-658.6804774823295
02,-68563.226232,Sn01,-657.616275835569
02,-68563.226232,Sn02,-656.2284046832533
02,-68563.226232,Sn03,-655.3240928416012
02,-68563.226232,Sn04,-657.737378696907
02,-68563.226232,Sn05,-655.8576259069296
02,-68563.226232,Sn06,-655.9349379859914
02,-68563.226232,Sn07,-657.9643621296973
02,-68563.226232,Sn08,-650.8776063123478
02,-68563.226232,Sn09,-658.4885229812371
02,-68563.226232,Sn10,-657.4096681137175
03,-68563.198524,Sn01,-658.2496858993809
03,-68563.198524,Sn02,-656.2060578791907
03,-68563.198524,Sn03,-657.9542689446566
03,-68563.198524,Sn04,-657.6323042550548
03,-68563.198524,Sn05,-656.5068599085384
03,-68563.198524,Sn06,-657.9124037475258
03,-68563.198524,Sn07,-658.2984479748429
03,-68563.198524,Sn08,-658.9890206703253
03,-68563.198524,Sn09,-656.2628858755752
03,-68563.198524,Sn10,-657.5511390252518
04,-68563.198383,Sn01,-656.3355284975005
04,-68563.198383,Sn02,-658.3989816197841
04,-68563.198383,Sn03,-658.4631820683658
04,-68563.198383,Sn04,-657.0791610073406
04,-68563.198383,Sn05,-657.091294879348
04,-68563.198383,Sn06,-656.3965274161355
04,-68563.198383,Sn07,-659.7050547361532
04,-68563.198383,Sn08,-659.8717419715085
04,-68563.198383,Sn09,-656.5954906481961
04,-68563.198383,Sn10,-656.8828081975817
05,-68563.211242,Sn01,-657.0444425303244
05,-68563.211242,Sn02,-657.0447242860691
05,-68563.211242,Sn03,-659.2776938281236
05,-68563.211242,Sn04,-659.2069747585806
05,-68563.211242,Sn05,-657.0665659471119
05,-68563.211242,Sn06,-659.2069067261955
05,-68563.211242,Sn07,-655.824006844297
05,-68563.211242,Sn08,-659.277478398466
05,-68563.211242,Sn09,-657.0665370726883
05,-68563.211242,Sn10,-655.8244183348725
06,-68563.241703,Sn01,-657.2053024124261
06,-68563.241703,Sn02,-657.205843313011
06,-68563.241703,Sn03,-657.2769390688004
