
 ____________________________________________________________________________________________
 Temperature: T =    300.00000000000000      K
 Chemical potential: mu =   -750.41490692939294      eV
 Composition: x =   0.74999999998564248     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  0      1        1           -61059.13561      -61059.13561    0.212769E-04    0.212769E-04
  1      1       16           -61809.52206      -61059.10715    0.113224E-03    0.707652E-05
  2      1       48           -62559.91747      -61059.08766    0.159813E-03    0.332943E-05
  2      2       24           -62559.92649      -61059.09668    0.113256E-03    0.471899E-05
  2      3       48           -62559.93679      -61059.10697    0.337330E-03    0.702771E-05
  3      1       48           -63310.31227      -61059.06755    0.734056E-04    0.152928E-05
  3      2       32           -63310.31342      -61059.06870    0.511750E-04    0.159922E-05
  3      3       96           -63310.32148      -61059.07676    0.209651E-03    0.218386E-05
  3      4      192           -63310.33108      -61059.08636    0.607925E-03    0.316628E-05
  3      5       96           -63310.33003      -61059.08531    0.291808E-03    0.303966E-05
  3      6       48           -63310.32923      -61059.08451    0.141496E-03    0.294784E-05
  3      7       32           -63310.36223      -61059.11751    0.338074E-03    0.105648E-04
  3      8       16           -63310.29084      -61059.04612    0.106836E-04    0.667725E-06
  4      1       12           -64060.69708      -61059.03745    0.572857E-05    0.477381E-06
  4      2      192           -64060.71656      -61059.05693    0.194760E-03    0.101438E-05
  4      3      192           -64060.71491      -61059.05528    0.182675E-03    0.951435E-06
  4      4       96           -64060.72606      -61059.06643    0.140630E-03    0.146490E-05
  4      5       24           -64060.72769      -61059.06806    0.374399E-04    0.156000E-05
  4      6       96           -64060.73540      -61059.07578    0.201853E-03    0.210263E-05
  4      7       48           -64060.73390      -61059.07428    0.952297E-04    0.198395E-05
  4      8       96           -64060.71444      -61059.05481    0.897165E-04    0.934547E-06
  4      9      192           -64060.73261      -61059.07298    0.362364E-03    0.188731E-05
  4     10       96           -64060.75440      -61059.09477    0.420810E-03    0.438344E-05
  4     11       96           -64060.75643      -61059.09680    0.455221E-03    0.474188E-05
  4     12       96           -64060.72217      -61059.06254    0.120985E-03    0.126026E-05
  4     13       96           -64060.69587      -61059.03624    0.437432E-04    0.455658E-06
  4     14       96           -64060.72462      -61059.06500    0.133016E-03    0.138559E-05
  4     15       96           -64060.73338      -61059.07375    0.186623E-03    0.194399E-05
  4     16      192           -64060.74358      -61059.08395    0.553794E-03    0.288434E-05
  4     17       48           -64060.73462      -61059.07499    0.978965E-04    0.203951E-05
  4     18       24           -64060.74005      -61059.08042    0.603936E-04    0.251640E-05
  4     19        8           -64060.70845      -61059.04882    0.592943E-05    0.741179E-06
  4     20        4           -64060.71469      -61059.05506    0.377364E-05    0.943409E-06
  4     21       12           -64060.72936      -61059.06973    0.199707E-04    0.166423E-05
  4     22        8           -64060.80941      -61059.14978    0.294464E-03    0.368079E-04
  5      1       96           -64811.10732      -61059.03279    0.382681E-04    0.398626E-06
  5      2      192           -64811.12798      -61059.05344    0.170166E-03    0.886279E-06
  5      3       48           -64811.11935      -61059.04482    0.304697E-04    0.634785E-06
  5      4      192           -64811.11591      -61059.04137    0.106677E-03    0.555610E-06
  5      5       96           -64811.13305      -61059.05852    0.103542E-03    0.107856E-05
  5      6      192           -64811.14693      -61059.07239    0.354188E-03    0.184473E-05
  5      7       96           -64811.14333      -61059.06879    0.154067E-03    0.160487E-05
  5      8       96           -64811.11657      -61059.04203    0.547199E-04    0.569999E-06
  5      9       96           -64811.15908      -61059.08454    0.283345E-03    0.295151E-05
  5     10      192           -64811.12358      -61059.04905    0.143567E-03    0.747747E-06
  5     11       96           -64811.15460      -61059.08006    0.238253E-03    0.248180E-05
  5     12       96           -64811.13429      -61059.05976    0.108629E-03    0.113155E-05
  5     13       48           -64811.09652      -61059.02198    0.125977E-04    0.262452E-06
  5     14       96           -64811.09885      -61059.02432    0.275770E-04    0.287260E-06
  5     15       96           -64811.10455      -61059.03001    0.343757E-04    0.358081E-06
  5     16      192           -64811.12491      -61059.05038    0.151123E-03    0.787101E-06
  5     17      192           -64811.13724      -61059.06271    0.243510E-03    0.126828E-05
  5     18      192           -64811.14338      -61059.06885    0.308767E-03    0.160816E-05
  5     19      192           -64811.14607      -61059.07154    0.342626E-03    0.178451E-05
  5     20      192           -64811.15355      -61059.07902    0.457592E-03    0.238329E-05
  5     21       96           -64811.14266      -61059.06813    0.150137E-03    0.156393E-05
  5     22       96           -64811.16473      -61059.09019    0.352531E-03    0.367220E-05
  5     23      192           -64811.12660      -61059.05207    0.161345E-03    0.840339E-06
  5     24      192           -64811.13486      -61059.06033    0.222110E-03    0.115682E-05
  5     25      192           -64811.15418      -61059.07964    0.468844E-03    0.244190E-05
  5     26      192           -64811.14948      -61059.07494    0.390906E-03    0.203597E-05
  5     27       96           -64811.13234      -61059.05781    0.100729E-03    0.104926E-05
  5     28       96           -64811.14099      -61059.06646    0.140761E-03    0.146627E-05
  5     29       96           -64811.10918      -61059.03465    0.411228E-04    0.428363E-06
  5     30       48           -64811.11499      -61059.04046    0.257429E-04    0.536309E-06
  5     31       48           -64811.12250      -61059.04796    0.344153E-04    0.716986E-06
  5     32       96           -64811.15092      -61059.07639    0.206665E-03    0.215276E-05
  5     33       96           -64811.15329      -61059.07876    0.226524E-03    0.235963E-05
  5     34       48           -64811.17400      -61059.09946    0.252288E-03    0.525600E-05
  5     35       96           -64811.20776      -61059.13322    0.186253E-02    0.194013E-04
  6      1       48           -65561.52021      -61059.03077    0.176959E-04    0.368665E-06
  6      2       96           -65561.51663      -61059.02719    0.308209E-04    0.321051E-06
  6      3       96           -65561.53725      -61059.04780    0.684088E-04    0.712592E-06
  6      4       96           -65561.55042      -61059.06098    0.113865E-03    0.118610E-05
  6      5      192           -65561.54507      -61059.05563    0.185188E-03    0.964521E-06
  6      6      192           -65561.52659      -61059.03715    0.906142E-04    0.471949E-06
  6      7      192           -65561.55623      -61059.06678    0.285096E-03    0.148488E-05
  6      8       16           -65561.58156      -61059.09212    0.632998E-04    0.395624E-05
  6      9       48           -65561.53048      -61059.04104    0.263250E-04    0.548437E-06
  6     10      192           -65561.50648      -61059.01704    0.416178E-04    0.216760E-06
  6     11       96           -65561.50926      -61059.01982    0.231696E-04    0.241350E-06
  6     12       32           -65561.53261      -61059.04317    0.190624E-04    0.595699E-06
  6     13      192           -65561.53638      -61059.04694    0.132295E-03    0.689036E-06
  6     14      192           -65561.55508      -61059.06564    0.272713E-03    0.142038E-05
  6     15      192           -65561.56568      -61059.07624    0.410956E-03    0.214039E-05
  6     16      192           -65561.52769      -61059.03825    0.945421E-04    0.492407E-06
  6     17      192           -65561.54578      -61059.05633    0.190293E-03    0.991109E-06
  6     18       64           -65561.54481      -61059.05537    0.611045E-04    0.954758E-06
  6     19      192           -65561.55339      -61059.06395    0.255525E-03    0.133086E-05
  6     20       96           -65561.56876      -61059.07932    0.231467E-03    0.241112E-05
  6     21      192           -65561.56988      -61059.08044    0.483506E-03    0.251826E-05
  6     22      192           -65561.54427      -61059.05482    0.179496E-03    0.934877E-06
  6     23      192           -65561.55311      -61059.06367    0.252713E-03    0.131622E-05
  6     24      192           -65561.57385      -61059.08441    0.563652E-03    0.293569E-05
  6     25      192           -65561.56475      -61059.07531    0.396450E-03    0.206484E-05
  6     26       96           -65561.58096      -61059.09152    0.371143E-03    0.386607E-05
  6     27      192           -65561.56031      -61059.07087    0.333900E-03    0.173906E-05
  6     28       96           -65561.53571      -61059.04627    0.644726E-04    0.671590E-06
  6     29      192           -65561.55869      -61059.06925    0.313582E-03    0.163324E-05
  6     30      192           -65561.55524      -61059.06580    0.274438E-03    0.142936E-05
  6     31      192           -65561.55868      -61059.06923    0.313437E-03    0.163248E-05
  6     32      192           -65561.56461      -61059.07517    0.394294E-03    0.205361E-05
  6     33       48           -65561.50632      -61059.01687    0.103387E-04    0.215389E-06
  6     34      192           -65561.52438      -61059.03494    0.831769E-04    0.433213E-06
  6     35       32           -65561.54198      -61059.05254    0.273896E-04    0.855925E-06
  6     36      192           -65561.51409      -61059.02465    0.558648E-04    0.290963E-06
  6     37       48           -65561.51811      -61059.02867    0.163147E-04    0.339889E-06
  6     38       96           -65561.51989      -61059.03045    0.349551E-04    0.364116E-06
  6     39       96           -65561.51745      -61059.02801    0.318142E-04    0.331398E-06
  6     40       96           -65561.52718      -61059.03774    0.463458E-04    0.482769E-06
  6     41       48           -65561.51654      -61059.02710    0.153569E-04    0.319936E-06
  6     42      192           -65561.54816      -61059.05872    0.208700E-03    0.108698E-05
  6     43       24           -65561.51377      -61059.02433    0.689773E-05    0.287406E-06
  6     44       96           -65561.52518      -61059.03574    0.428939E-04    0.446811E-06
  6     45      192           -65561.54372      -61059.05428    0.175732E-03    0.915269E-06
  6     46      192           -65561.55012      -61059.06068    0.225095E-03    0.117237E-05
  6     47       96           -65561.54490      -61059.05546    0.919907E-04    0.958236E-06
  6     48       96           -65561.55341      -61059.06397    0.127846E-03    0.133173E-05
  6     49       96           -65561.57079      -61059.08135    0.250395E-03    0.260828E-05
  6     50       48           -65561.53532      -61059.04588    0.317463E-04    0.661381E-06
  6     51       96           -65561.57028      -61059.08084    0.245542E-03    0.255773E-05
  6     52      192           -65561.57470      -61059.08525    0.582470E-03    0.303370E-05
  6     53       96           -65561.57929      -61059.08985    0.347926E-03    0.362423E-05
  6     54       48           -65561.57496      -61059.08552    0.147118E-03    0.306496E-05
  6     55      192           -65561.56311      -61059.07367    0.372110E-03    0.193807E-05
  6     56       96           -65561.57904      -61059.08960    0.344577E-03    0.358935E-05
  6     57       16           -65561.54741      -61059.05797    0.168931E-04    0.105582E-05
  6     58       48           -65561.51364      -61059.02420    0.137252E-04    0.285942E-06
  6     59       48           -65561.55833      -61059.06889    0.773084E-04    0.161059E-05
  6     60       96           -65561.60610      -61059.11666    0.981312E-03    0.102220E-04
  6     61      192           -65561.59742      -61059.10797    0.140266E-02    0.730552E-05
  6     62       96           -65561.62828      -61059.13884    0.231454E-02    0.241098E-04
  6     63       96           -65561.60348      -61059.11404    0.886631E-03    0.923574E-05
  6     64       48           -65561.61413      -61059.12469    0.669410E-03    0.139460E-04
  6     65       48           -65561.59121      -61059.10176    0.275784E-03    0.574550E-05
  7      1      192           -66311.94451      -61059.04016    0.101800E-03    0.530207E-06
  7      2       48           -66311.97842      -61059.07407    0.944929E-04    0.196860E-05
  7      3       96           -66311.94963      -61059.04529    0.620601E-04    0.646460E-06
  7      4       96           -66311.91560      -61059.01125    0.166367E-04    0.173299E-06
  7      5       48           -66311.91094      -61059.00659    0.694467E-05    0.144681E-06
  7      6       96           -66311.93192      -61059.02757    0.312774E-04    0.325806E-06
  7      7       96           -66311.96458      -61059.06023    0.110640E-03    0.115250E-05
  7      8      192           -66311.94323      -61059.03888    0.968896E-04    0.504633E-06
  7      9      192           -66311.96152      -61059.05717    0.196563E-03    0.102377E-05
  7     10      192           -66311.97454      -61059.07019    0.325245E-03    0.169399E-05
  7     11      192           -66311.98827      -61059.08392    0.553221E-03    0.288136E-05
  7     12      192           -66311.96920      -61059.06486    0.264598E-03    0.137812E-05
  7     13      192           -66311.97897      -61059.07462    0.386054E-03    0.201070E-05
  7     14      192           -66311.95455      -61059.05020    0.150081E-03    0.781674E-06
  7     15      192           -66311.94879      -61059.04444    0.120124E-03    0.625647E-06
  7     16      192           -66311.97501      -61059.07066    0.331225E-03    0.172513E-05
  7     17      192           -66311.97941      -61059.07506    0.392651E-03    0.204506E-05
  7     18      192           -66311.97931      -61059.07496    0.391090E-03    0.203692E-05
  7     19       96           -66311.98554      -61059.08119    0.248909E-03    0.259280E-05
  7     20       96           -66311.97225      -61059.06791    0.148866E-03    0.155068E-05
  7     21      192           -66311.93300      -61059.02865    0.652184E-04    0.339679E-06
  7     22      192           -66311.95195      -61059.04760    0.135737E-03    0.706965E-06
  7     23       96           -66311.91308      -61059.00873    0.150909E-04    0.157197E-06
  7     24       96           -66311.92432      -61059.01997    0.233108E-04    0.242820E-06
  7     25      192           -66311.93376      -61059.02942    0.671798E-04    0.349895E-06
  7     26      192           -66311.94964      -61059.04529    0.124125E-03    0.646485E-06
  7     27      192           -66311.95674      -61059.05239    0.163381E-03    0.850942E-06
  7     28      192           -66311.94869      -61059.04434    0.119674E-03    0.623304E-06
  7     29       96           -66311.96376      -61059.05941    0.107190E-03    0.111656E-05
  7     30      192           -66311.92504      -61059.02069    0.479345E-04    0.249659E-06
  7     31       96           -66311.92608      -61059.02173    0.249482E-04    0.259877E-06
  7     32      192           -66311.94219      -61059.03784    0.930728E-04    0.484754E-06
  7     33      192           -66311.95534      -61059.05099    0.154768E-03    0.806085E-06
  7     34      192           -66311.93241      -61059.02806    0.637469E-04    0.332015E-06
  7     35      192           -66311.94584      -61059.04149    0.107174E-03    0.558198E-06
  7     36      192           -66311.96232      -61059.05797    0.202709E-03    0.105578E-05
  7     37      192           -66311.94051      -61059.03616    0.872134E-04    0.454236E-06
  7     38       96           -66311.94944      -61059.04509    0.616009E-04    0.641676E-06
  7     39      192           -66311.96984      -61059.06549    0.271178E-03    0.141239E-05
  7     40       96           -66311.93276      -61059.02841    0.323029E-04    0.336488E-06
  7     41      192           -66311.96916      -61059.06482    0.264189E-03    0.137599E-05
  7     42       96           -66311.96775      -61059.06340    0.125039E-03    0.130249E-05
  7     43       96           -66311.96666      -61059.06231    0.119882E-03    0.124877E-05
  7     44       96           -66311.99143      -61059.08708    0.312575E-03    0.325599E-05
  7     45       96           -66311.96841      -61059.06406    0.128298E-03    0.133643E-05
  7     46      192           -66311.97714      -61059.07279    0.359671E-03    0.187329E-05
  7     47      192           -66311.96119      -61059.05684    0.194077E-03    0.101082E-05
  7     48      192           -66311.99185      -61059.08750    0.635291E-03    0.330881E-05
  7     49      192           -66311.99770      -61059.09335    0.796707E-03    0.414951E-05
  7     50      192           -66311.97840      -61059.07405    0.377679E-03    0.196708E-05
  7     51       48           -66311.98007      -61059.07572    0.100717E-03    0.209826E-05
  7     52       96           -66311.96713      -61059.06278    0.122114E-03    0.127202E-05
  7     53       48           -66311.91035      -61059.00600    0.678824E-05    0.141422E-06
  7     54       96           -66311.93432      -61059.02997    0.343161E-04    0.357460E-06
  7     55      192           -66311.93864      -61059.03429    0.811213E-04    0.422507E-06
  7     56      192           -66311.94337      -61059.03902    0.973931E-04    0.507256E-06
  7     57       32           -66311.93053      -61059.02618    0.987965E-05    0.308739E-06
  7     58       96           -66311.95366      -61059.04931    0.725181E-04    0.755397E-06
  7     59       96           -66311.95312      -61059.04877    0.710190E-04    0.739782E-06
  7     60      192           -66311.96400      -61059.05965    0.216379E-03    0.112697E-05
  7     61       96           -66311.96270      -61059.05836    0.102887E-03    0.107174E-05
  7     62       16           -66311.93216      -61059.02781    0.526172E-05    0.328858E-06
  7     63       96           -66311.99363      -61059.08928    0.340287E-03    0.354465E-05
  7     64      192           -66312.02416      -61059.11981    0.221687E-02    0.115462E-04
  7     65      192           -66312.00195      -61059.09760    0.938991E-03    0.489058E-05
  7     66      192           -66312.02133      -61059.11699    0.198769E-02    0.103526E-04
  7     67      192           -66312.01008      -61059.10573    0.128595E-02    0.669763E-05
  7     68       64           -66311.99630      -61059.09196    0.251618E-03    0.393154E-05
  7     69       96           -66312.02607      -61059.12172    0.119370E-02    0.124344E-04
  7     70      192           -66312.01215      -61059.10780    0.139320E-02    0.725626E-05
  7     71      192           -66312.02303      -61059.11868    0.212230E-02    0.110536E-04
  7     72       96           -66311.98848      -61059.08413    0.278888E-03    0.290508E-05
  7     73      192           -66312.02080      -61059.11645    0.194720E-02    0.101417E-04
  7     74       96           -66311.98403      -61059.07968    0.234741E-03    0.244522E-05
  7     75       96           -66312.03621      -61059.13187    0.176715E-02    0.184079E-04
  7     76      192           -66311.98906      -61059.08471    0.570321E-03    0.297042E-05
  7     77       96           -66311.99918      -61059.09483    0.421775E-03    0.439349E-05
  7     78       96           -66311.95201      -61059.04766    0.680211E-04    0.708553E-06
  7     79       96           -66311.97882      -61059.07447    0.191933E-03    0.199930E-05
  7     80       48           -66311.97449      -61059.07014    0.811479E-04    0.169058E-05
  7     81       32           -66312.00074      -61059.09639    0.149366E-03    0.466767E-05
  7     82       16           -66312.07070      -61059.16635    0.111805E-02    0.698783E-04
  8      1       48           -67062.37149      -61059.05223    0.405933E-04    0.845694E-06
  8      2       96           -67062.33935      -61059.02010    0.234229E-04    0.243989E-06
  8      3      192           -67062.38655      -61059.06730    0.290789E-03    0.151453E-05
  8      4      192           -67062.36876      -61059.04950    0.146095E-03    0.760912E-06
  8      5      192           -67062.39867      -61059.07941    0.464660E-03    0.242010E-05
  8      6      192           -67062.39225      -61059.07299    0.362480E-03    0.188792E-05
  8      7       96           -67062.35957      -61059.04031    0.511982E-04    0.533314E-06
  8      8      192           -67062.33768      -61059.01842    0.439119E-04    0.228708E-06
  8      9      192           -67062.35671      -61059.03746    0.916936E-04    0.477571E-06
  8     10       96           -67062.36931      -61059.05005    0.746183E-04    0.777274E-06
  8     11      192           -67062.37592      -61059.05667    0.192768E-03    0.100400E-05
  8     12      192           -67062.37400      -61059.05475    0.178970E-03    0.932138E-06
  8     13       48           -67062.32089      -61059.00163    0.573385E-05    0.119455E-06
  8     14      192           -67062.34967      -61059.03042    0.698268E-04    0.363681E-06
  8     15      192           -67062.34013      -61059.02087    0.482770E-04    0.251443E-06
  8     16      192           -67062.35628      -61059.03702    0.901602E-04    0.469584E-06
  8     17      192           -67062.36970      -61059.05044    0.151517E-03    0.789150E-06
  8     18      192           -67062.36911      -61059.04985    0.148104E-03    0.771373E-06
  8     19       96           -67062.36918      -61059.04993    0.742613E-04    0.773555E-06
  8     20       96           -67062.38028      -61059.06102    0.114073E-03    0.118826E-05
  8     21       96           -67062.35428      -61059.03503    0.417321E-04    0.434709E-06
  8     22      192           -67062.36855      -61059.04929    0.144908E-03    0.754727E-06
  8     23      192           -67062.39009      -61059.07083    0.333437E-03    0.173665E-05
  8     24       96           -67062.37760      -61059.05834    0.102832E-03    0.107117E-05
  8     25       48           -67062.40669      -61059.08744    0.158449E-03    0.330102E-05
  8     26       96           -67062.38834      -61059.06908    0.155794E-03    0.162286E-05
  8     27       12           -67062.33386      -61059.01461    0.236759E-05    0.197299E-06
  8     28       96           -67062.36664      -61059.04739    0.673093E-04    0.701139E-06
  8     29       96           -67062.36557      -61059.04631    0.645653E-04    0.672556E-06
