
 ____________________________________________________________________________________________
 Temperature: T =    300.00000000000000      K
 Chemical potential: mu =   -750.43977067318497      eV
 Composition: x =   0.24999999999485709     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  0      1        1           -61059.13561      -61059.13561    0.405831E-01    0.405831E-01
  1      1       16           -61809.52206      -61059.08229    0.825437E-01    0.515898E-02
  2      1       48           -62559.91747      -61059.03793    0.445311E-01    0.927731E-03
  2      2       24           -62559.92649      -61059.04695    0.315582E-01    0.131492E-02
  2      3       48           -62559.93679      -61059.05724    0.939955E-01    0.195824E-02
  3      1       48           -63310.31227      -61058.99295    0.781788E-02    0.162873E-03
  3      2       32           -63310.31342      -61058.99411    0.545027E-02    0.170321E-03
  3      3       96           -63310.32148      -61059.00217    0.223284E-01    0.232587E-03
  3      4      192           -63310.33108      -61059.01177    0.647456E-01    0.337217E-03
  3      5       96           -63310.33003      -61059.01071    0.310783E-01    0.323732E-03
  3      6       48           -63310.32923      -61059.00992    0.150697E-01    0.313952E-03
  3      7       32           -63310.36223      -61059.04292    0.360058E-01    0.112518E-02
  3      8       16           -63310.29084      -61058.97153    0.113783E-02    0.711144E-04
  4      1       12           -64060.69708      -61058.93799    0.233192E-03    0.194327E-04
  4      2      192           -64060.71656      -61058.95748    0.792807E-02    0.412921E-04
  4      3      192           -64060.71491      -61058.95582    0.743615E-02    0.387300E-04
  4      4       96           -64060.72606      -61058.96698    0.572463E-02    0.596316E-04
  4      5       24           -64060.72769      -61058.96861    0.152406E-02    0.635026E-04
  4      6       96           -64060.73540      -61058.97632    0.821680E-02    0.855917E-04
  4      7       48           -64060.73390      -61058.97482    0.387650E-02    0.807605E-04
  4      8       96           -64060.71444      -61058.95536    0.365208E-02    0.380425E-04
  4      9      192           -64060.73261      -61058.97353    0.147507E-01    0.768265E-04
  4     10       96           -64060.75440      -61058.99531    0.171299E-01    0.178436E-03
  4     11       96           -64060.75643      -61058.99735    0.185306E-01    0.193027E-03
  4     12       96           -64060.72217      -61058.96309    0.492491E-02    0.513011E-04
  4     13       96           -64060.69587      -61058.93679    0.178065E-02    0.185484E-04
  4     14       96           -64060.72462      -61058.96554    0.541469E-02    0.564030E-04
  4     15       96           -64060.73338      -61058.97429    0.759686E-02    0.791339E-04
  4     16      192           -64060.74358      -61058.98449    0.225432E-01    0.117413E-03
  4     17       48           -64060.73462      -61058.97553    0.398506E-02    0.830221E-04
  4     18       24           -64060.74005      -61058.98097    0.245843E-02    0.102435E-03
  4     19        8           -64060.70845      -61058.94937    0.241369E-03    0.301711E-04
  4     20        4           -64060.71469      -61058.95560    0.153613E-03    0.384032E-04
  4     21       12           -64060.72936      -61058.97028    0.812945E-03    0.677454E-04
  4     22        8           -64060.80941      -61059.05032    0.119867E-01    0.149834E-02
  5      1       96           -64811.10732      -61058.90847    0.595404E-03    0.620213E-05
  5      2      192           -64811.12798      -61058.92912    0.264757E-02    0.137894E-04
  5      3       48           -64811.11935      -61058.92050    0.474071E-03    0.987648E-05
  5      4      192           -64811.11591      -61058.91705    0.165977E-02    0.864461E-05
  5      5       96           -64811.13305      -61058.93420    0.161098E-02    0.167810E-04
  5      6      192           -64811.14693      -61058.94808    0.551074E-02    0.287018E-04
  5      7       96           -64811.14333      -61058.94447    0.239710E-02    0.249698E-04
  5      8       96           -64811.11657      -61058.91771    0.851376E-03    0.886849E-05
  5      9       96           -64811.15908      -61058.96023    0.440850E-02    0.459219E-04
  5     10      192           -64811.12358      -61058.92473    0.223373E-02    0.116340E-04
  5     11       96           -64811.15460      -61058.95574    0.370692E-02    0.386138E-04
  5     12       96           -64811.13429      -61058.93544    0.169014E-02    0.176056E-04
  5     13       48           -64811.09652      -61058.89766    0.196005E-03    0.408343E-05
