
 ____________________________________________________________________________________________
 Temperature: T =    300.00000000000000      K
 Chemical potential: mu =   -750.40377420609525      eV
 Composition: x =   0.87499999999472156     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  0      1        1           -61059.13561      -61059.13561    0.743950E-07    0.743950E-07
  1      1       16           -61809.52206      -61059.11828    0.608971E-06    0.380607E-07
  2      1       48           -62559.91747      -61059.10992    0.132218E-05    0.275453E-07
  2      2       24           -62559.92649      -61059.11894    0.936997E-06    0.390415E-07
  2      3       48           -62559.93679      -61059.12924    0.279083E-05    0.581423E-07
  3      1       48           -63310.31227      -61059.10094    0.934176E-06    0.194620E-07
  3      2       32           -63310.31342      -61059.10210    0.651264E-06    0.203520E-07
  3      3       96           -63310.32148      -61059.11016    0.266807E-05    0.277923E-07
  3      4      192           -63310.33108      -61059.11976    0.773659E-05    0.402947E-07
  3      5       96           -63310.33003      -61059.11870    0.371361E-05    0.386834E-07
  3      6       48           -63310.32923      -61059.11791    0.180071E-05    0.375149E-07
  3      7       32           -63310.36223      -61059.15091    0.430241E-05    0.134450E-06
  3      8       16           -63310.29084      -61059.07952    0.135962E-06    0.849762E-08
  4      1       12           -64060.69708      -61059.08198    0.112142E-06    0.934515E-08
  4      2      192           -64060.71656      -61059.10146    0.381260E-05    0.198573E-07
  4      3      192           -64060.71491      -61059.09981    0.357603E-05    0.186252E-07
  4      4       96           -64060.72606      -61059.11097    0.275296E-05    0.286767E-07
  4      5       24           -64060.72769      -61059.11259    0.732919E-06    0.305383E-07
  4      6       96           -64060.73540      -61059.12031    0.395144E-05    0.411609E-07
  4      7       48           -64060.73390      -61059.11881    0.186420E-05    0.388376E-07
  4      8       96           -64060.71444      -61059.09935    0.175628E-05    0.182946E-07
  4      9      192           -64060.73261      -61059.11752    0.709358E-05    0.369457E-07
  4     10       96           -64060.75440      -61059.13930    0.823772E-05    0.858096E-07
  4     11       96           -64060.75643      -61059.14133    0.891134E-05    0.928265E-07
  4     12       96           -64060.72217      -61059.10708    0.236838E-05    0.246706E-07
  4     13       96           -64060.69587      -61059.08078    0.856310E-06    0.891990E-08
  4     14       96           -64060.72462      -61059.10953    0.260391E-05    0.271241E-07
  4     15       96           -64060.73338      -61059.11828    0.365331E-05    0.380553E-07
  4     16      192           -64060.74358      -61059.12848    0.108410E-04    0.564635E-07
  4     17       48           -64060.73462      -61059.11952    0.191641E-05    0.399252E-07
  4     18       24           -64060.74005      -61059.12495    0.118226E-05    0.492607E-07
  4     19        8           -64060.70845      -61059.09335    0.116074E-06    0.145092E-07
  4     20        4           -64060.71469      -61059.09959    0.738722E-07    0.184680E-07
  4     21       12           -64060.72936      -61059.11426    0.390944E-06    0.325786E-07
  4     22        8           -64060.80941      -61059.19431    0.576438E-05    0.720547E-06
  5      1       96           -64811.10732      -61059.08845    0.115233E-05    0.120035E-07
  5      2      192           -64811.12798      -61059.10911    0.512406E-05    0.266878E-07
  5      3       48           -64811.11935      -61059.10048    0.917508E-06    0.191148E-07
  5      4      192           -64811.11591      -61059.09703    0.321228E-05    0.167306E-07
  5      5       96           -64811.13305      -61059.11418    0.311786E-05    0.324777E-07
  5      6      192           -64811.14693      -61059.12806    0.106654E-04    0.555489E-07
  5      7       96           -64811.14333      -61059.12446    0.463930E-05    0.483260E-07
  5      8       96           -64811.11657      -61059.09770    0.164774E-05    0.171639E-07
  5      9       96           -64811.15908      -61059.14021    0.853213E-05    0.888763E-07
  5     10      192           -64811.12358      -61059.10471    0.432313E-05    0.225163E-07
  5     11       96           -64811.15460      -61059.13573    0.717431E-05    0.747324E-07
  5     12       96           -64811.13429      -61059.11542    0.327106E-05    0.340735E-07
  5     13       48           -64811.09652      -61059.07765    0.379344E-06    0.790299E-08
  5     14       96           -64811.09885      -61059.07998    0.830403E-06    0.865003E-08
  5     15       96           -64811.10455      -61059.08568    0.103513E-05    0.107826E-07
  5     16      192           -64811.12491      -61059.10604    0.455065E-05    0.237013E-07
  5     17      192           -64811.13724      -61059.11837    0.733262E-05    0.381907E-07
  5     18      192           -64811.14338      -61059.12451    0.929764E-05    0.484252E-07
  5     19      192           -64811.14607      -61059.12720    0.103172E-04    0.537355E-07
  5     20      192           -64811.15355      -61059.13468    0.137791E-04    0.717662E-07
  5     21       96           -64811.14266      -61059.12379    0.452096E-05    0.470933E-07
  5     22       96           -64811.16473      -61059.14586    0.106155E-04    0.110578E-06
  5     23      192           -64811.12660      -61059.10773    0.485845E-05    0.253045E-07
